Random games won/total: 1/1.0, win %: 100.0%, last score: 1.0
Random games won/total: 1/2.0, win %: 50.0%, last score: -1
Random games won/total: 1/3.0, win %: 33.33%, last score: -1
Random games won/total: 1/4.0, win %: 25.0%, last score: -1
Random games won/total: 1/5.0, win %: 20.0%, last score: -1
Random games won/total: 1/6.0, win %: 16.67%, last score: -1
Random games won/total: 1/7.0, win %: 14.29%, last score: -1
Random games won/total: 1/8.0, win %: 12.5%, last score: -1
Random games won/total: 1/9.0, win %: 11.11%, last score: -1
Random games won/total: 2/10.0, win %: 20.0%, last score: 1.0
Random games won/total: 3/11.0, win %: 27.27%, last score: 1.0
Random games won/total: 3/12.0, win %: 25.0%, last score: -1
Random games won/total: 3/13.0, win %: 23.08%, last score: -1
Random games won/total: 3/14.0, win %: 21.43%, last score: -1
Random games won/total: 3/15.0, win %: 20.0%, last score: -1
Random games won/total: 4/16.0, win %: 25.0%, last score: 1.0
Random games won/total: 4/17.0, win %: 23.53%, last score: -1
Random games won/total: 5/18.0, win %: 27.78%, last score: 1.0
Random games won/total: 6/19.0, win %: 31.58%, last score: 1.0
Random games won/total: 7/20.0, win %: 35.0%, last score: 1.0
Random games won/total: 7/21.0, win %: 33.33%, last score: -1
Random games won/total: 8/22.0, win %: 36.36%, last score: 1.0
Random games won/total: 8/23.0, win %: 34.78%, last score: -1
Random games won/total: 9/24.0, win %: 37.5%, last score: 1.0
Random games won/total: 9/25.0, win %: 36.0%, last score: -1
Random games won/total: 10/26.0, win %: 38.46%, last score: 1.0
Random games won/total: 10/27.0, win %: 37.04%, last score: -1
Random games won/total: 11/28.0, win %: 39.29%, last score: 1.0
Random games won/total: 12/29.0, win %: 41.38%, last score: 1.0
Random games won/total: 13/30.0, win %: 43.33%, last score: 1.0
Trained episode: 45, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 1364
Trained episode: 46, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 1394
Trained episode: 47, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 1424
Trained episode: 48, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1455
Trained episode: 49, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 1486
Trained episode: 50, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 1517
Trained episode: 51, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 1547
Trained episode: 52, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 1577
Trained episode: 53, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 1607
Trained episode: 54, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 1637
Trained episode: 55, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1668
Trained episode: 56, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 1698
Trained episode: 57, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1728
Trained episode: 58, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1758
Trained episode: 59, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 1788
Trained episode: 60, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 1818
Trained episode: 61, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1849
Trained episode: 62, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1879
Trained episode: 63, current score: -1 mean_score: 0.1, e: 0.099, iterations (steps): 1910
Trained episode: 64, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 1941
Trained episode: 65, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 1971
Trained episode: 66, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 2001
Trained episode: 67, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 2031
Trained episode: 68, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 2061
Trained episode: 69, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 2093
Trained episode: 70, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2123
Trained episode: 71, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2153
Trained episode: 72, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2183
Trained episode: 73, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2213
Trained episode: 74, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2244
Trained episode: 75, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 2275
Trained episode: 76, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2306
Trained episode: 77, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2336
Trained episode: 78, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2366
Trained episode: 79, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2396
Trained episode: 80, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2426
Trained episode: 81, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2456
Trained episode: 82, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2486
Trained episode: 83, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2516
Trained episode: 84, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2547
Trained episode: 85, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2578
Trained episode: 86, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2609
Trained episode: 87, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2639
Trained episode: 88, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 2669
Trained episode: 89, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 2699
Trained episode: 90, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 2729
Trained episode: 91, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2761
Trained episode: 92, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 2791
Trained episode: 93, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2821
Trained episode: 94, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2851
Trained episode: 95, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 2882
Trained episode: 96, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2913
Trained episode: 97, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2943
Trained episode: 98, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2974
Trained episode: 99, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3004
Trained episode: 100, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 3035
Trained episode: 101, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3066
Trained episode: 102, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3097
Trained episode: 103, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3129
Trained episode: 104, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3160
Trained episode: 105, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 3190
Trained episode: 106, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 3220
Trained episode: 107, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3251
Trained episode: 108, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3282
Trained episode: 109, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3312
Trained episode: 110, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 3342
Trained episode: 111, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3372
Trained episode: 112, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3403
Trained episode: 113, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 3434
Trained episode: 114, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3465
Trained episode: 115, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 3495
Trained episode: 116, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 3525
Trained episode: 117, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 3555
Trained episode: 118, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 3586
Trained episode: 119, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3617
Trained episode: 120, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3647
Trained episode: 121, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 3678
Trained episode: 122, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3709
Trained episode: 123, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 3739
Trained episode: 124, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3770
Trained episode: 125, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3801
Trained episode: 126, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 3831
Trained episode: 127, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3861
Trained episode: 128, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3892
Trained episode: 129, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 3922
Trained episode: 130, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3953
Trained episode: 131, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3983
Trained episode: 132, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 4013
Trained episode: 133, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4044
Trained episode: 134, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4074
Trained episode: 135, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 4104
Trained episode: 136, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4134
Trained episode: 137, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4164
Trained episode: 138, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 4195
Trained episode: 139, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 4225
Trained episode: 140, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 4256
Trained episode: 141, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4287
Trained episode: 142, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 4317
Trained episode: 143, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4348
Trained episode: 144, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4379
Trained episode: 145, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 4410
Trained episode: 146, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4441
Trained episode: 147, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 4471
Trained episode: 148, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 4502
Trained episode: 149, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4534
Trained episode: 150, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 4565
Trained episode: 151, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 4595
Trained episode: 152, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4625
Trained episode: 153, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4656
Trained episode: 154, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 4686
Trained episode: 155, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4717
Trained episode: 156, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 4747
Trained episode: 157, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4777
Trained episode: 158, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4808
Trained episode: 159, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4838
Trained episode: 160, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 4869
Trained episode: 161, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 4899
Trained episode: 162, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4929
Trained episode: 163, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4959
Trained episode: 164, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4989
Trained episode: 165, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5019
Trained episode: 166, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5050
Trained episode: 167, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5080
Trained episode: 168, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5111
Trained episode: 169, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 5142
Trained episode: 170, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 5173
Trained episode: 171, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5203
Trained episode: 172, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5233
Trained episode: 173, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5263
Trained episode: 174, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5293
Trained episode: 175, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 5324
Trained episode: 176, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5354
Trained episode: 177, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5384
Trained episode: 178, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5414
Trained episode: 179, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 5444
Trained episode: 180, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 5475
Trained episode: 181, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 5506
Trained episode: 182, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 5537
Trained episode: 183, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 5567
Trained episode: 184, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5597
Trained episode: 185, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5627
Trained episode: 186, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5657
Trained episode: 187, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5688
Trained episode: 188, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5718
Trained episode: 189, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 5749
Trained episode: 190, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 5780
Trained episode: 191, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 5810
Trained episode: 192, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 5840
Trained episode: 193, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 5870
Trained episode: 194, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 5900
Trained episode: 195, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5931
Trained episode: 196, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5962
Trained episode: 197, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5992
Trained episode: 198, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6023
Trained episode: 199, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6053
Trained episode: 200, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 6084
Trained episode: 201, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6114
Trained episode: 202, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6145
Trained episode: 203, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6176
Trained episode: 204, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6207
Trained episode: 205, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6238
Trained episode: 206, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 6268
Trained episode: 207, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 6298
Trained episode: 208, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 6328
Trained episode: 209, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 6359
Trained episode: 210, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 6389
Trained episode: 211, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 6419
Trained episode: 212, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 6449
Trained episode: 213, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6479
Trained episode: 214, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6510
Trained episode: 215, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6540
Trained episode: 216, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6570
Trained episode: 217, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6601
Trained episode: 218, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6631
Trained episode: 219, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6662
Trained episode: 220, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6692
Trained episode: 221, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6722
Trained episode: 222, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6753
Trained episode: 223, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6783
Trained episode: 224, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6813
Trained episode: 225, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6843
Trained episode: 226, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6873
Trained episode: 227, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6904
Trained episode: 228, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6934
Trained episode: 229, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6964
Trained episode: 230, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6995
Trained episode: 231, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 7025
Trained episode: 232, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7055
Trained episode: 233, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 7085
Trained episode: 234, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7115
Trained episode: 235, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 7145
Trained episode: 236, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7175
Trained episode: 237, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7206
Trained episode: 238, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 7237
Trained episode: 239, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 7268
Trained episode: 240, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 7298
Trained episode: 241, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 7329
Trained episode: 242, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 7359
Trained episode: 243, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 7390
Trained episode: 244, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 7421
Trained episode: 245, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 7452
Trained episode: 246, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 7482
Trained episode: 247, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 7512
Trained episode: 248, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 7542
Trained episode: 249, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 7572
Trained episode: 250, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7602
Trained episode: 251, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 7633
Trained episode: 252, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 7663
Trained episode: 253, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 7693
Trained episode: 254, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 7723
Trained episode: 255, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 7754
Trained episode: 256, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7785
Trained episode: 257, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7815
Trained episode: 258, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 7846
Trained episode: 259, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 7877
Trained episode: 260, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 7907
Trained episode: 261, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 7937
Trained episode: 262, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 7967
Trained episode: 263, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 7997
Trained episode: 264, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 8028
Trained episode: 265, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 8059
Trained episode: 266, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 8089
Trained episode: 267, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 8120
Trained episode: 268, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 8150
Trained episode: 269, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 8180
Trained episode: 270, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 8210
Trained episode: 271, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 8240
Trained episode: 272, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 8270
Trained episode: 273, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 8301
Trained episode: 274, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 8331
Trained episode: 275, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 8361
Trained episode: 276, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 8391
Trained episode: 277, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 8422
Trained episode: 278, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 8452
